ukprn,kiscourseid,title,foundation,sandwich,yearabroad
10007784,UBAARLAANT18,Archaeology and Anthropology,0,0,0
10007784,UBAARTATEC18,Art and Technology,0,0,0
10007784,UBABULACZE18,Bulgarian and Czech,0,0,2
10007784,UBABULADAN18,Bulgarian and Danish,0,0,2
10007784,UBABULADUT18,Bulgarian and Dutch,0,0,2
10007784,UBABULAEES18,Bulgarian and East European Studies,0,0,2
10007784,UBABULAFIN18,Bulgarian and Finnish,0,0,2
10007784,UBABULAFRE18,Bulgarian and French,0,0,2
10007784,UBABULAGER18,Bulgarian and German,0,0,2
10007784,UBABULAHEB18,Bulgarian and Hebrew,0,0,2
10007784,UBABULAHUN18,Bulgarian and Hungarian,0,0,2
10007784,UBABULAITA18,Bulgarian and Italian,0,0,2
10007784,UBABULANOR18,Bulgarian and Norwegian,0,0,2
10007784,UBABULAPOL18,Bulgarian and Polish,0,0,2
10007784,UBABULAPOR18,Bulgarian and Portuguese,0,0,2
10007784,UBABULAROM18,Bulgarian and Romanian,0,0,2
10007784,UBABULARUS18,Bulgarian and Russian,0,0,2
10007784,UBABULASPA18,Bulgarian and Spanish,0,0,2
10007784,UBABULASRB18,Bulgarian and Serbian/Croatian,0,0,2
10007784,UBABULASWE18,Bulgarian and Swedish,0,0,2
10007784,UBABULAUKR18,Bulgarian and Ukrainian,0,0,2
10007784,UBABULAYID18,Bulgarian and Yiddish,0,0,2
10007784,UBACLAACLC18,Classical Archaeology and Classical Civilisation,0,0,0
10007784,UBACLASANC18,Classics and the Ancient World,0,0,0
10007784,UBACREAHUM18,Creative Arts and Humanities,0,0,0
10007784,UBACZEADAN18,Czech and Danish,0,0,2
10007784,UBACZEADUT18,Czech and Dutch,0,0,2
10007784,UBACZEAEES18,Czech (with Slovak) and East European Studies,0,0,2
10007784,UBACZEAFIN18,Czech and Finnish,0,0,2
10007784,UBACZEAFRE18,Czech and French,0,0,2
10007784,UBACZEAGER18,Czech and German,0,0,2
10007784,UBACZEAHEB18,Czech and Hebrew,0,0,2
10007784,UBACZEAHUN18,Czech and Hungarian,0,0,2
10007784,UBACZEAITA18,Czech and Italian,0,0,2
10007784,UBACZEANOR18,Czech and Norwegian,0,0,2
10007784,UBACZEAPOL18,Czech and Polish,0,0,2
10007784,UBACZEAPOR18,Czech and Portuguese,0,0,2
10007784,UBACZEAROM18,Czech and Romanian,0,0,2
10007784,UBACZEARUS18,Czech and Russian,0,0,2
10007784,UBACZEASPA18,Czech and Spanish,0,0,2
10007784,UBACZEASRB18,Czech and Serbian/Croatian,0,0,2
10007784,UBACZEASWE18,Czech and Swedish,0,0,2
10007784,UBACZEAUKR18,Czech and Ukrainian,0,0,2
10007784,UBACZEAYID18,Czech and Yiddish,0,0,2
10007784,UBADANADUT18,Danish and Dutch,0,0,2
10007784,UBADANAFIN18,Danish and Finnish,0,0,2
10007784,UBADANAFRE18,Danish and French,0,0,2
10007784,UBADANAGER18,Danish and German,0,0,2
10007784,UBADANAHEB18,Danish and Hebrew,0,0,2
10007784,UBADANAHUN18,Danish and Hungarian,0,0,2
10007784,UBADANAITA18,Danish and Italian,0,0,2
10007784,UBADANAPOL18,Danish and Polish,0,0,2
10007784,UBADANAPOR18,Danish and Portuguese,0,0,2
10007784,UBADANAROM18,Danish and Romanian,0,0,2
10007784,UBADANARUS18,Danish and Russian,0,0,0
10007784,UBADANASPA18,Danish and Spanish,0,0,2
10007784,UBADANASRB18,Danish and Serbian/Croatian,0,0,2
10007784,UBADANAUKR18,Danish and Ukrainian,0,0,2
10007784,UBADANAYID18,Danish and Yiddish,0,0,2
10007784,UBADUTAENG18,Dutch and English,0,0,2
10007784,UBADUTAFIN18,Dutch and Finnish,0,0,2
10007784,UBADUTAFRE18,Dutch and French,0,0,2
10007784,UBADUTAGER18,Dutch and German,0,0,2
10007784,UBADUTAHAR18,Dutch and History of Art,0,0,2
10007784,UBADUTAHEB18,Dutch and Hebrew,0,0,2
10007784,UBADUTAHUN18,Dutch and Hungarian,0,0,2
10007784,UBADUTAITA18,Dutch and Italian,0,0,2
10007784,UBADUTALAT18,Dutch and Latin,0,0,2
10007784,UBADUTAMAN18,Dutch and Management Studies,0,0,2
10007784,UBADUTANOR18,Dutch and Norwegian,0,0,2
10007784,UBADUTAPHI18,Dutch and Philosophy,0,0,2
10007784,UBADUTAPOL18,Dutch and Polish,0,0,2
10007784,UBADUTAPOR18,Dutch and Portuguese,0,0,2
10007784,UBADUTAROM18,Dutch and Romanian,0,0,2
10007784,UBADUTARUS18,Dutch and Russian,0,0,2
10007784,UBADUTASPA18,Dutch and Spanish,0,0,2
10007784,UBADUTASRB18,Dutch and Serbian/Croatian,0,0,2
10007784,UBADUTASWE18,Dutch and Swedish,0,0,2
10007784,UBADUTAUKR18,Dutch and Ukrainian,0,0,2
10007784,UBADUTAYID18,Dutch and Yiddish,0,0,2
10007784,UBAEDUACUL18,"Education, Society and Culture",0,0,0
10007784,UBAESPSDUA18,European Social and Political Studies: Dual Degree,0,0,2
10007784,UBAESPSSTU18,European Social and Political Studies,0,0,2
10007784,UBAFINAFRE18,Finnish and French,0,0,2
10007784,UBAFINAGER18,Finnish and German,0,0,2
10007784,UBAFINAHEB18,Finnish and Hebrew,0,0,2
10007784,UBAFINAHUN18,Finnish and Hungarian,0,0,2
10007784,UBAFINAITA18,Finnish and Italian,0,0,2
10007784,UBAFINANOR18,Finnish and Norwegian,0,0,2
10007784,UBAFINAPOL18,Finnish and Polish,0,0,2
10007784,UBAFINAPOR18,Finnish and Portuguese,0,0,2
10007784,UBAFINAROM18,Finnish and Romanian,0,0,2
10007784,UBAFINARUS18,Finnish and Russian,0,0,2
10007784,UBAFINASPA18,Finnish and Spanish,0,0,2
10007784,UBAFINASRB18,Finnish and Serbian/Croatian,0,0,2
10007784,UBAFINASWE18,Finnish and Swedish,0,0,2
10007784,UBAFINAUKR18,Finnish and Ukrainian,0,0,2
10007784,UBAFINAYID18,Finnish and Yiddish,0,0,2
10007784,UBAFREAAAL18,French and an Asian or African Language,0,0,2
10007784,UBAFREAENG18,French and English,0,0,2
10007784,UBAFREAGER18,French and German,0,0,2
10007784,UBAFREAHAR18,French and History of Art,0,0,2
10007784,UBAFREAHEB18,French and Hebrew,0,0,2
10007784,UBAFREAHUN18,French and Hungarian,0,0,2
10007784,UBAFREAITA18,French and Italian,0,0,2
10007784,UBAFREALAT18,French and Latin,0,0,2
10007784,UBAFREANOR18,French and Norwegian,0,0,2
10007784,UBAFREAPHI18,French and Philosophy,0,0,2
10007784,UBAFREAPOL18,French and Polish,0,0,2
10007784,UBAFREAPOR18,French and Portuguese,0,0,2
10007784,UBAFREAROM18,French and Romanian,0,0,2
10007784,UBAFREARUS18,French and Russian,0,0,2
10007784,UBAFREASPA18,French and Spanish,0,0,2
