title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Archaeology and Anthropology,BA,archaeology-and-anthropology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,1,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,UBAARLAANT18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",NA
Art and Technology,BA,art-and-technology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,2,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,UBAARTATEC18,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. ",NA
Bulgarian and Czech,BA,bulgarian-and-czech-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba,3,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba,UBABULACZE18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Danish,BA,bulgarian-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba,4,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba,UBABULADAN18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Dutch,BA,bulgarian-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba,5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba,UBABULADUT18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and East European Studies,BA,bulgarian-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba,6,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba,UBABULAEES18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Finnish,BA,bulgarian-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba,7,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba,UBABULAFIN18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and French,BA,bulgarian-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba,8,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba,UBABULAFRE18,AAB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
Bulgarian and German,BA,bulgarian-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba,9,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba,UBABULAGER18,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Hebrew,BA,bulgarian-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba,10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba,UBABULAHEB18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include Bulgarian or Hebrew, with no higher levelscore below 5",NA
Bulgarian and Hungarian,BA,bulgarian-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba,11,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba,UBABULAHUN18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Italian,BA,bulgarian-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba,12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba,UBABULAITA18,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
