ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UFBBENSING22,Biochemical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A65-J91,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBBMDSING22,Biomedical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-J02,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBCENSING22,Chemical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-I91,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBCIVSING22,Civil Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-A17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBCOMSING18,Computer Science with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-I94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBEENSEEE22,Electronic and Electrical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-I98,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBMECSING22,Mechanical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes,A66-J01,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFBSCESSOC18,Science and Engineering for Social Change with Integrated Foundation Year,BSc (Integrated Foundation Year),No,No,Yes,A69-C50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMBENSING22,Biochemical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-J03,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMBMDSING22,Biomedical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-J19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMCENSING22,Chemical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A65-J94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMCIVSING22,Civil Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-A13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMCOMSING18,Computer Science with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-J09,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMCOMSRAI18,Robotics and Artificial Intelligence with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A69-C49,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMEENSEEE22,Electronic and Electrical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-J16,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMMECSING22,Mechanical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A66-J18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
10007784,UFMMECWBFN22,Mechanical Engineering with Business Finance with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes,A67-I76,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year
