ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available
10007784,UBAARLAANT18,Archaeology and Anthropology,BA,No,No,No
10007784,UBAARTATEC18,Art and Technology,BA,No,No,No
10007784,UBABULACZE18,Bulgarian and Czech,BA,Yes,No,No
10007784,UBABULADAN18,Bulgarian and Danish,BA,Yes,No,No
10007784,UBABULADUT18,Bulgarian and Dutch,BA,Yes,No,No
10007784,UBABULAEES18,Bulgarian and East European Studies,BA,Yes,No,No
10007784,UBABULAFIN18,Bulgarian and Finnish,BA,Yes,No,No
10007784,UBABULAFRE18,Bulgarian and French,BA,Yes,No,No
10007784,UBABULAGER18,Bulgarian and German,BA,Yes,No,No
10007784,UBABULAHEB18,Bulgarian and Hebrew,BA,Yes,No,No
10007784,UBABULAHUN18,Bulgarian and Hungarian,BA,Yes,No,No
10007784,UBABULAITA18,Bulgarian and Italian,BA,Yes,No,No
10007784,UBABULANOR18,Bulgarian and Norwegian,BA,Yes,No,No
10007784,UBABULAPOL18,Bulgarian and Polish,BA,Yes,No,No
10007784,UBABULAPOR18,Bulgarian and Portuguese,BA,Yes,No,No
10007784,UBABULAROM18,Bulgarian and Romanian,BA,Yes,No,No
10007784,UBABULARUS18,Bulgarian and Russian,BA,Yes,No,No
10007784,UBABULASPA18,Bulgarian and Spanish,BA,Yes,No,No
10007784,UBABULASRB18,Bulgarian and Serbian/Croatian,BA,Yes,No,No
10007784,UBABULASWE18,Bulgarian and Swedish,BA,Yes,No,No
10007784,UBABULAUKR18,Bulgarian and Ukrainian,BA,Yes,No,No
10007784,UBABULAYID18,Bulgarian and Yiddish,BA,Yes,No,No
10007784,UBACAWWABR18,Classics and the Ancient World with Study Abroad,BA,Yes,No,No
10007784,UBACLAACLC18,Classical Archaeology and Classical Civilisation,BA,No,No,No
10007784,UBACLASANC18,Classics and the Ancient World,BA,No,No,No
10007784,UBACREAHUM18,Creative Arts and Humanities,BA,No,No,No
10007784,UBACZEADAN18,Czech and Danish,BA,Yes,No,No
10007784,UBACZEADUT18,Czech and Dutch,BA,Yes,No,No
10007784,UBACZEAEES18,Czech (with Slovak) and East European Studies,BA,Yes,No,No
10007784,UBACZEAFIN18,Czech and Finnish,BA,Yes,No,No
10007784,UBACZEAFRE18,Czech and French,BA,Yes,No,No
10007784,UBACZEAGER18,Czech and German,BA,Yes,No,No
10007784,UBACZEAHEB18,Czech and Hebrew,BA,Yes,No,No
10007784,UBACZEAHUN18,Czech and Hungarian,BA,Yes,No,No
10007784,UBACZEAITA18,Czech and Italian,BA,Yes,No,No
10007784,UBACZEANOR18,Czech and Norwegian,BA,Yes,No,No
10007784,UBACZEAPOL18,Czech and Polish,BA,Yes,No,No
10007784,UBACZEAPOR18,Czech and Portuguese,BA,Yes,No,No
10007784,UBACZEAROM18,Czech and Romanian,BA,Yes,No,No
10007784,UBACZEARUS18,Czech and Russian,BA,Yes,No,No
10007784,UBACZEASPA18,Czech and Spanish,BA,Yes,No,No
10007784,UBACZEASRB18,Czech and Serbian/Croatian,BA,Yes,No,No
10007784,UBACZEASWE18,Czech and Swedish,BA,Yes,No,No
10007784,UBACZEAUKR18,Czech and Ukrainian,BA,Yes,No,No
10007784,UBACZEAYID18,Czech and Yiddish,BA,Yes,No,No
10007784,UBADANADUT18,Danish and Dutch,BA,Yes,No,No
10007784,UBADANAFIN18,Danish and Finnish,BA,Yes,No,No
10007784,UBADANAFRE18,Danish and French,BA,Yes,No,No
10007784,UBADANAGER18,Danish and German,BA,Yes,No,No
10007784,UBADANAHEB18,Danish and Hebrew,BA,Yes,No,No
10007784,UBADANAHUN18,Danish and Hungarian,BA,Yes,No,No
10007784,UBADANAITA18,Danish and Italian,BA,Yes,No,No
10007784,UBADANAPOL18,Danish and Polish,BA,Yes,No,No
10007784,UBADANAPOR18,Danish and Portuguese,BA,Yes,No,No
10007784,UBADANAROM18,Danish and Romanian,BA,Yes,No,No
10007784,UBADANARUS18,Danish and Russian,BA,No,No,No
10007784,UBADANASPA18,Danish and Spanish,BA,Yes,No,No
10007784,UBADANASRB18,Danish and Serbian/Croatian,BA,Yes,No,No
10007784,UBADANAUKR18,Danish and Ukrainian,BA,Yes,No,No
10007784,UBADANAYID18,Danish and Yiddish,BA,Yes,No,No
10007784,UBADUTAENG18,Dutch and English,BA,Yes,No,No
10007784,UBADUTAFIN18,Dutch and Finnish,BA,Yes,No,No
10007784,UBADUTAFRE18,Dutch and French,BA,Yes,No,No
10007784,UBADUTAGER18,Dutch and German,BA,Yes,No,No
10007784,UBADUTAHAR18,Dutch and History of Art,BA,Yes,No,No
10007784,UBADUTAHEB18,Dutch and Hebrew,BA,Yes,No,No
10007784,UBADUTAHUN18,Dutch and Hungarian,BA,Yes,No,No
10007784,UBADUTAITA18,Dutch and Italian,BA,Yes,No,No
10007784,UBADUTALAT18,Dutch and Latin,BA,Yes,No,No
10007784,UBADUTAMAN18,Dutch and Management Studies,BA,Yes,No,No
10007784,UBADUTANOR18,Dutch and Norwegian,BA,Yes,No,No
10007784,UBADUTAPHI18,Dutch and Philosophy,BA,Yes,No,No
10007784,UBADUTAPOL18,Dutch and Polish,BA,Yes,No,No
10007784,UBADUTAPOR18,Dutch and Portuguese,BA,Yes,No,No
10007784,UBADUTAROM18,Dutch and Romanian,BA,Yes,No,No
10007784,UBADUTARUS18,Dutch and Russian,BA,Yes,No,No
10007784,UBADUTASPA18,Dutch and Spanish,BA,Yes,No,No
10007784,UBADUTASRB18,Dutch and Serbian/Croatian,BA,Yes,No,No
10007784,UBADUTASWE18,Dutch and Swedish,BA,Yes,No,No
10007784,UBADUTAUKR18,Dutch and Ukrainian,BA,Yes,No,No
10007784,UBADUTAYID18,Dutch and Yiddish,BA,Yes,No,No
10007784,UBAEBSWEEA18,Economics and Business with East European Studies,BA,Yes,No,No
10007784,UBAEBSWEES18,Economics and Business with East European Studies,BA,No,No,No
10007784,UBAEDUACUL18,"Education, Society and Culture",BA,No,No,No
10007784,UBAESPSDUA18,European Social and Political Studies: Dual Degree,BA,Yes,No,No
10007784,UBAESPSSTU18,European Social and Political Studies,BA,Yes,No,No
