ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UBAARLAANT18,Archaeology and Anthropology,BA,No,No,No,A23-J19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba
10007784,UBAARTATEC18,Art and Technology,BA,No,No,No,A71-H86,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba
10007784,UBABULACZE18,Bulgarian and Czech,BA,Yes,No,No,A49-A68,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba
10007784,UBABULADAN18,Bulgarian and Danish,BA,Yes,No,No,A49-B45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba
10007784,UBABULADUT18,Bulgarian and Dutch,BA,Yes,No,No,A49-B46,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba
10007784,UBABULAEES18,Bulgarian and East European Studies,BA,Yes,No,No,A23-J37,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba
10007784,UBABULAFIN18,Bulgarian and Finnish,BA,Yes,No,No,A49-A69,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba
10007784,UBABULAFRE18,Bulgarian and French,BA,Yes,No,No,A49-A10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba
10007784,UBABULAGER18,Bulgarian and German,BA,Yes,No,No,A49-B47,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba
10007784,UBABULAHEB18,Bulgarian and Hebrew,BA,Yes,No,No,A48-J94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba
10007784,UBABULAHUN18,Bulgarian and Hungarian,BA,Yes,No,No,A49-A70,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba
10007784,UBABULAITA18,Bulgarian and Italian,BA,Yes,No,No,A49-B49,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba
10007784,UBABULANOR18,Bulgarian and Norwegian,BA,Yes,No,No,A49-B50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-norwegian-ba
10007784,UBABULAPOL18,Bulgarian and Polish,BA,Yes,No,No,A49-A71,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba
