ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UBADUTWFLM18,Dutch with Film Studies,BA,Yes,No,No,A49-H14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba
10007784,UBADUTWMAN18,Dutch with Management Studies,BA,Yes,No,No,A49-G88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba
10007784,UBAFREWFLM18,French with Film Studies,BA,Yes,No,No,A49-A07,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba
10007784,UBAFREWMAN18,French with Management Studies,BA,Yes,No,No,A49-A26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba
10007784,UBAGERWFLM18,German with Film Studies,BA,Yes,No,No,A49-G91,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-film-studies-ba
10007784,UBAGERWMAN18,German with Management Studies,BA,Yes,No,No,A49-G92,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-management-studies-ba
10007784,UBAHISWABR18,History with a Year Abroad,BA,Yes,No,No,A24-A13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-year-abroad-ba
10007784,UBAITAWFLM18,Italian with Film Studies,BA,Yes,No,No,A49-G98,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-film-studies-ba
10007784,UBARUSWEEL18,Russian with an East European Language,BA,Yes,No,No,A24-A92,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-language-ba
10007784,UBASCAWFLM18,Scandinavian Studies with Film Studies,BA,Yes,No,No,A49-H24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-film-studies-ba
10007784,UBASCAWMAN18,Scandinavian Studies with Management Studies,BA,Yes,No,No,A49-H01,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-management-studies-ba
10007784,UBASPAWFLM18,Spanish with Film Studies,BA,Yes,No,No,A49-A41,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-film-studies-ba
10007784,UBASPAWMAN18,Spanish with Management Studies,BA,Yes,No,No,A49-A45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-management-studies-ba
10007784,UBLLAWSFRL18,Law with French Law,LLB,Yes,No,No,A24-A31,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-french-llb
10007784,UBLLAWSGRL18,Law with German Law,LLB,Yes,No,No,A24-A32,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-german-llb
10007784,UBLLAWSHSL18,Law with Hispanic Law,LLB,Yes,No,No,A24-A33,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-hispanic-llb
10007784,UBSCHEWMAN18,Chemistry with Management Studies,BSc,No,No,No,A23-J45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-management-studies-bsc
10007784,UBSCHEWMAT18,Chemistry with Mathematics,BSc,No,No,No,A23-J48,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemistry-mathematics-bsc
10007784,UBSMATWECO18,Mathematics with Economics,BSc,No,No,No,A24-A45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-economics-bsc
