ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available
10007784,UBAARLSABR18,Archaeology,BA,Yes,No,No
10007784,UBAARLSING18,Archaeology,BA,No,Yes,No
10007784,UBACLTSABR18,Comparative Literature,BA,Yes,No,No
10007784,UBACLTSING18,Comparative Literature,BA,No,No,No
10007784,UBACOMSING18,Communications,BA,No,No,No
10007784,UBADUTSING18,Dutch,BA,Yes,No,No
10007784,UBAECHSEDU18,Early Childhood Education,BA,No,No,No
10007784,UBAENGSING05,English,BA,No,No,No
10007784,UBAFINSING05,Fine Art,BA,No,No,No
10007784,UBAFRESING18,French,BA,Yes,No,No
10007784,UBAGEOSING18,Geography,BA,No,No,No
10007784,UBAGEOSINT18,Geography (International Programme),BA,Yes,No,No
10007784,UBAGERSING18,German,BA,Yes,No,No
10007784,UBAHARSING18,History of Art,BA,No,No,No
10007784,UBAHISSANC18,Ancient History,BA,No,No,No
10007784,UBAHISSING18,History,BA,No,No,No
10007784,UBAITASDUA18,Italian Studies: UCL-Venice Double Degree,BA,Yes,No,No
10007784,UBAITASING18,Italian,BA,Yes,No,No
10007784,UBALINSING18,Linguistics,BA,No,No,No
10007784,UBALINSINT18,Linguistics (International Programme),BA,Yes,No,No
10007784,UBALNGSANA18,Ancient Languages,BA,Yes,No,No
10007784,UBALNGSANC18,Ancient Languages,BA,No,No,No
10007784,UBAMEDUCCM20,Media,BA,No,No,No
10007784,UBAPHISING18,Philosophy,BA,No,No,No
10007784,UBARUSSING18,Russian Studies,BA,Yes,No,No
10007784,UBASCASICE18,Icelandic,BA,Yes,No,No
10007784,UBASCASING18,Scandinavian Studies,BA,Yes,No,No
10007784,UBEECOSABR18,Economics,BSc (Econ),Yes,No,No
10007784,UBEECOSING18,Economics,BSc (Econ),No,No,No
10007784,UBFFINSING05,Fine Art,BA,No,No,No
10007784,UBLLAWSING18,Law,LLB,No,No,No
10007784,UBMMEDSING01,Medicine,MBBS,No,No,No
10007784,UBNBENSING22,Biochemical Engineering,BEng,No,No,No
10007784,UBNBMDSING22,Biomedical Engineering,BEng,No,No,No
10007784,UBNCENSING22,Chemical Engineering,BEng,No,No,No
10007784,UBNCIVSING22,Civil Engineering,BEng,No,No,No
10007784,UBNMECSING22,Mechanical Engineering,BEng,No,No,No
10007784,UBSANASNEU18,Neuroscience,BSc,No,No,No
10007784,UBSANTSING18,Anthropology,BSc,No,No,No
10007784,UBSANTWABR18,Anthropology,BSc,Yes,No,No
10007784,UBSARCSING18,Architecture,BSc,No,No,No
10007784,UBSARCSURB18,Urban Studies,BSc,No,No,No
10007784,UBSARLSING18,Archaeology,BSc,No,No,No
10007784,UBSASTSPHY18,Astrophysics,BSc,Yes,No,No
10007784,UBSAUDSING18,Audiology,BSc,Yes,No,No
10007784,UBSBMDSSCI18,Biomedical Sciences,BSc,No,No,No
10007784,UBSBOCSING18,Biochemistry,BSc,No,No,No
10007784,UBSBOLSING18,Biological Sciences,BSc,No,No,No
10007784,UBSCANSBMD18,Cancer Biomedicine,BSc,No,No,No
10007784,UBSCHESING18,Chemistry,BSc,No,No,No
