title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects
Biochemical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),biochemical-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,1,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBBENSING22,NA,NA,NA,NA,NA
Biomedical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),biomedical-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,2,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBBMDSING22,NA,NA,NA,NA,NA
Chemical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),chemical-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,3,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBCENSING22,NA,NA,NA,NA,NA
Civil Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),civil-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,4,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBCIVSING22,NA,NA,NA,NA,NA
Computer Science with Integrated Foundation Year,BEng (Integrated Foundation Year),computer-science-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBCOMSING18,NA,NA,NA,NA,NA
Electronic and Electrical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),electronic-and-electrical-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,6,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBEENSEEE22,NA,NA,NA,NA,NA
Mechanical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),mechanical-engineering-integrated-foundation-year-beng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,7,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBMECSING22,NA,NA,NA,NA,NA
Science and Engineering for Social Change with Integrated Foundation Year,BSc (Integrated Foundation Year),science-and-engineering-for-social-change-integrated-foundation-year-bsc-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,8,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFBSCESSOC18,NA,NA,NA,NA,NA
Biochemical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),biochemical-engineering-integrated-foundation-year-meng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,9,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFMBENSING22,NA,NA,NA,NA,NA
Biomedical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),biomedical-engineering-integrated-foundation-year-meng-integrated-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UFMBMDSING22,NA,NA,NA,NA,NA
