title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects
Dutch with Film Studies,BA,dutch-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,1,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,UBADUTWFLM18,ABB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
Dutch with Management Studies,BA,dutch-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,2,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,UBADUTWMAN18,AAB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
French with Film Studies,BA,french-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba,3,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-film-studies-ba,UBAFREWFLM18,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5."
French with Management Studies,BA,french-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba,4,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-management-studies-ba,UBAFREWMAN18,AAB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, including 6 in French, with no higher level score below 5"
German with Film Studies,BA,german-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-film-studies-ba,5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-film-studies-ba,UBAGERWFLM18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects, with no higher level score below 5. Foreign language preferred."
German with Management Studies,BA,german-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-management-studies-ba,6,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-management-studies-ba,UBAGERWMAN18,AAB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 in three higher level subjects, with no higher level score below 5. Foreign language preferred."
History with a Year Abroad,BA,history-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-year-abroad-ba,7,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-year-abroad-ba,UBAHISWABR18,AAA,History required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5."
Italian with Film Studies,BA,italian-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-film-studies-ba,8,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-film-studies-ba,UBAITAWFLM18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5. Foreign language preferred. "
Russian with an East European Language,BA,russian-east-european-language-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-language-ba,9,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-east-european-language-ba,UBARUSWEEL18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
Scandinavian Studies with Film Studies,BA,scandinavian-studies-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-film-studies-ba,10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-film-studies-ba,UBASCAWFLM18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
Scandinavian Studies with Management Studies,BA,scandinavian-studies-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-management-studies-ba,11,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-management-studies-ba,UBASCAWMAN18,AAB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Foreign language preferred. "
Spanish with Film Studies,BA,spanish-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-film-studies-ba,12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-film-studies-ba,UBASPAWFLM18,ABB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5."
Spanish with Management Studies,BA,spanish-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-management-studies-ba,13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-management-studies-ba,UBASPAWMAN18,AAB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including Spanish grade 6, with no higher level score below 5. "
Law with French Law,LLB,law-french-law-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-french-law-llb,14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-french-law-llb,UBLLAWSFRL18,A*AA,French required.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects including French at grade 6, with no higher level score below 5."
Law with German Law,LLB,law-german-law-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-german-law-llb,15,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-german-law-llb,UBLLAWSGRL18,A*AA,German required.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects including German at grade 6, with no higher level score below 5."
Law with Hispanic Law,LLB,law-hispanic-law-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-hispanic-law-llb,16,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-hispanic-law-llb,UBLLAWSHSL18,A*AA,Spanish required.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5."
