title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,1,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,UBAARLSABR18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,2,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,UBAARLSING18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,3,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,UBAARLSPLA18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Comparative Literature,BA,comparative-literature-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,4,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,UBACLTSABR18,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including a Humanities subject. Higher level French or Spanish required at grade 6 if one of these is to be studied as a major language pathway. No higher level score below 5.",NA
Comparative Literature,BA,comparative-literature-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,UBACLTSING18,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including a Humanities subject. Higher level French or Spanish required at grade 6 if one of these is to be studied as a major language pathway. No higher level score below 5.",NA
Communications,BA,communications-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,6,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,UBACOMSING18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Dutch,BA,dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,7,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,UBADUTSING18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects preferably including a foreign language, with no score higher level below 5.",NA
Early Childhood Education,BA,early-childhood-education-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,8,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,UBAECHSEDU18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
English,BA,english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,9,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,UBAENGSING05,AAA,English Literature (or combined Literature and Language) required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including English A1 Literature/Language and Literature at grade 6, with no higher level score below 5.",NA
Fine Art,BA,fine-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,UBAFINSING05,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. ",NA
French,BA,french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba,11,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-ba,UBAFRESING18,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
Geography,BA,geography-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba,12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-ba,UBAGEOSING18,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Geography (International Programme),BA,geography-international-programme-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba,13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/geography-international-programme-ba,UBAGEOSINT18,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
German,BA,german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-ba,14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-ba,UBAGERSING18,ABB,German required.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, including German, with no higher level score below 5.",NA
History of Art,BA,history-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-art-ba,15,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-art-ba,UBAHARSING18,AAB,"No specific subjects, though essay-based subjects are an advantage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Ancient History,BA,ancient-history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,16,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-history-ba,UBAHISSANC18,AAA,"History, Ancient History or Classical Civilisation required.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.",NA
History,BA,history-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba,17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba,UBAHISSING18,AAA,History required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in History, with no higher level score below 5.",NA
Italian Studies: UCL-Venice Double Degree,BA,italian-studies-ucl-venice-double-degree-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-studies-ucl-venice-double-degree-ba,18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-studies-ucl-venice-double-degree-ba,UBAITASDUA18,ABB,Italian required.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Italian, with no higher level score below 5.",NA
Italian,BA,italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-ba,19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/italian-ba,UBAITASING18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, preferably including a foreign language, with no higher level score below 5.",NA
Linguistics,BA,linguistics-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-ba,20,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-ba,UBALINSING18,AAB,English Language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects preferably to include English Language, with no higher level score below 5.",NA
Linguistics (International Programme),BA,linguistics-international-programme-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-international-programme-ba,21,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/linguistics-international-programme-ba,UBALINSINT18,AAB,English Language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects preferably to include English Language, with no higher level score below 5.",NA
Ancient Languages,BA,ancient-languages-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,UBALNGSANA18,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",NA
Ancient Languages,BA,ancient-languages-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,23,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/ancient-languages-ba,UBALNGSANC18,ABB,"An ancient or modern language at grade A, unless an ancient and a modern language are offered at GCSE at grade C or above.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include an ancient or modern language at grade 6 unless an ancient and a modern language are offered at GCSE at grade C or above.",NA
Media,BA,media-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/media-ba,24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/media-ba,UBAMEDUCCM20,AAB,An Arts and Humanities subject or Computer Science preferred.,English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Philosophy,BA,philosophy-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-ba,25,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-ba,UBAPHISING18,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Russian Studies,BA,russian-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-studies-ba,26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/russian-studies-ba,UBARUSSING18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Icelandic,BA,icelandic-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/icelandic-ba,27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/icelandic-ba,UBASCASICE18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, preferably including a foreign language, with no higher level score below 5.",NA
