title,degree_type,url_slug,url,row_number,URL,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Archaeology and Anthropology,BA,archaeology-and-anthropology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,1,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-and-anthropology-ba,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects, with no higher level score below 5.",NA
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,2,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,3,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Archaeology,BA,archaeology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,4,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Art and Technology,BA,art-and-technology-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/art-and-technology-ba,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. ",NA
Bulgarian and Czech,BA,bulgarian-and-czech-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba,6,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-czech-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Danish,BA,bulgarian-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba,7,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-danish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Dutch,BA,bulgarian-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba,8,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-dutch-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and East European Studies,BA,bulgarian-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba,9,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-east-european-studies-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Finnish,BA,bulgarian-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba,10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-finnish-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and French,BA,bulgarian-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba,11,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-french-ba,AAB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
Bulgarian and German,BA,bulgarian-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba,12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-german-ba,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Hebrew,BA,bulgarian-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba,13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hebrew-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include Bulgarian or Hebrew, with no higher levelscore below 5",NA
Bulgarian and Hungarian,BA,bulgarian-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba,14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-hungarian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Italian,BA,bulgarian-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba,15,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-italian-ba,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Norwegian,BA,bulgarian-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-norwegian-ba,16,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-norwegian-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Polish,BA,bulgarian-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba,17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-polish-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Portuguese,BA,bulgarian-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba,18,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-portuguese-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Romanian,BA,bulgarian-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba,19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-romanian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Russian,BA,bulgarian-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,20,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-russian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Spanish,BA,bulgarian-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,21,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-spanish-ba,AAB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include French grade 6.",NA
Bulgarian and Serbian/Croatian,BA,bulgarian-and-serbiancroatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbiancroatian-ba,22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-serbiancroatian-ba,NA,NA,NA,NA,NA,NA
Bulgarian and Swedish,BA,bulgarian-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,23,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-swedish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Bulgarian and Ukrainian,BA,bulgarian-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-ukrainian-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Bulgarian and Yiddish,BA,bulgarian-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,25,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/bulgarian-and-yiddish-ba,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Bulgarian or Yiddish with no higher level score below 5,NA
Classics and the Ancient World with Study Abroad,BA,classics-and-the-ancient-world-study-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-the-ancient-world-study-abroad-ba,26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-the-ancient-world-study-abroad-ba,NA,NA,NA,NA,NA,NA
Classical Archaeology and Classical Civilisation,BA,classical-archaeology-and-classical-civilisation-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Classics and the Ancient World,BA,classics-and-the-ancient-world-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-the-ancient-world-ba,28,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-the-ancient-world-ba,NA,NA,NA,NA,NA,NA
Comparative Literature,BA,comparative-literature-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including a Humanities subject. Higher level French or Spanish required at grade 6 if one of these is to be studied as a major language pathway. No higher level score below 5.",NA
Comparative Literature,BA,comparative-literature-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,30,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/comparative-literature-ba,AAA,A humanities subject required. French or Spanish required at grade A if one of these is to be studied as major language pathway.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including a Humanities subject. Higher level French or Spanish required at grade 6 if one of these is to be studied as a major language pathway. No higher level score below 5.",NA
Communications,BA,communications-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,31,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/communications-ba,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
